Filename,T,P,HOA,M%,UCV,D,ASA,AVAF,Adsorption
DB0-m3_o45_o150_f0_fsc,313.0,0.4,7.66707,3.57,1008.23,1.05279,166.569,0.06612,4.92373
DB0-m9_o1_o24_f0_sra.sym.57,298.0,1.0,8.249421,4.76,1304.43,1.35231,114.75,0.03384,2.212428
DB0-m3_o10_o10_f0_pcu,298.0,0.1,5.210719,7.69,1159.55,1.11392,174.896,0.08466,0.447542
DB0-m29_o81_o510_f0_pts.sym.96,313.0,0.4,5.015217,2.27,2734.43,0.594121,540.403,0.2969,0.96175
DB0-m3_o21_o25_f0_pcu.sym.60,338.0,0.26,4.610559,2.78,2918.57,0.410427,726.483,0.38336,0.358169
DB13-cds-Syn023376,338.0,0.26,3.28346,2.63,6570.45,0.398205,1351.82,0.47082,0.212878
DB0-m29_o88_o169_f0_pts.sym.127,298.0,0.1,4.278793,1.56,6034.43,0.437016,1185.53,0.43822,0.205062
DB0-m3_o540_o158_f0_fsc.sym.7,298.0,0.1,6.473121,1.75,2667.32,0.730689,420.212,0.2131,0.826196
DB0-m2_o8_o28_f0_pcu.sym.37,313.0,16.0,3.963591,1.67,6131.51,0.332583,1082.25,0.54052,19.830457
DB0-m3_o20_o28_f0_pcu.sym.56,313.0,16.0,5.400683,1.59,4585.95,0.506859,872.516,0.3765,23.154213
DB0-m3_o21_o26_f0_pcu.sym.80,338.0,3.2,4.034582,2.5,3196.24,0.424691,671.378,0.3911,3.433672
DB0-m3_o11_o15_f0_nbo.sym.3,313.0,16.0,4.733083,5.61,5409.66,0.420862,1038.52,0.50296,22.61646
DB0-m2_o1_o6_f0_nbo.sym.86,298.0,0.1,5.667122,1.71,14831.3,0.921469,1952.54,0.10802,0.299506
DB0-m3_o2_o17_f0_pcu.sym.98,338.0,0.26,4.391276,2.04,3208.17,0.482194,690.139,0.34258,0.418049
DB0-m29_o91_o44_f0_pts.sym.120,298.0,1.0,5.457853,2.04,3125.76,0.589903,642.028,0.27426,3.895721
DB1-Cu2O8N2-ADC_A-irmof20_A_No875,298.0,0.1,4.107972,2.5,3454.0,0.45473,673.38,0.45706,0.226625
DB5-hypotheticalMOF_5071944_0_0_2_19_24_6,313.0,16.0,6.112698,2.25,4150.83,0.457196,942.119,0.38874,25.96872
DB6-cuf_7161,338.0,0.26,4.49369,2.17,3518.59,0.519962,792.567,0.36832,0.25496
DB0-m3_o16_o46_f0_fsc.sym.21,338.0,0.26,8.065886,3.7,873.325,1.21917,118.003,0.06192,3.420062
DB0-m15_o25_o30_jeb,313.0,0.4,4.238335,4.88,3010.33,0.572765,627.155,0.351,0.546499
DB0-m2_o11_o28_f0_nbo,338.0,0.26,2.682008,3.7,22389.4,0.289318,3696.82,0.61632,0.14443
DB1-Al2O6-ADC_B-DPAC_B_No94,338.0,3.2,4.375921,2.86,3835.25,0.585814,581.292,0.37046,6.494123
DB0-m3_o1530_o6_f0_fsc.sym.30,298.0,1.0,6.51945,3.33,1605.88,0.772663,335.444,0.24808,4.634217
DB1-Zn2O8N2-ADC_A-irmof8_A_No825,298.0,1.0,4.450222,2.33,3894.26,0.423587,714.968,0.4881,1.949222
DB12-APAZIC_clean,313.0,16.0,9.712044,2.04,8537.77,0.893607,1766.66,0.15798,12.936098
DB0-m3_o28_o38_f0_fsc,313.0,0.4,5.239516,2.33,2896.66,0.546591,590.983,0.34034,1.582837
DB0-m29_o90_o151_f0_pts.sym.30,298.0,0.1,4.629539,1.89,3550.22,0.533442,768.446,0.30324,0.415662
DB13-dia-Syn039806,338.0,3.2,4.272739,5.41,28924.1,0.3997,6251.65,0.4468,3.656005
DB0-m2_o25_o28_f0_pcu.sym.130,338.0,0.26,3.850822,1.64,5379.22,0.397633,1030.18,0.47542,0.262886
DB6-pMOF_141,298.0,1.0,4.475769,3.23,2165.74,0.525665,470.88,0.34302,2.416322
DB0-m29_o85_o47_f0_pts.sym.49,298.0,1.0,6.904186,2.86,1809.06,0.776708,352.235,0.18032,4.981362
DB0-m3_o13_o22_f0_pcu.sym.58,298.0,1.0,5.985137,2.53,1672.09,0.756175,336.993,0.14738,3.55368
DB0-m2_o12_o16_f0_pcu.sym.6,338.0,0.26,5.16836,3.85,1362.1,0.88418,258.884,0.12326,0.461773
DB0-m3_o6_o19_f0_nbo.sym.26,298.0,0.1,3.796117,3.37,24829.2,0.247417,4337.86,0.61698,0.190972
DB0-m2_o6_o24_f0_nbo.sym.142,298.0,1.0,3.807914,2.65,21962.9,0.462727,4136.0,0.44232,1.36599
DB1-Cu2N8-ADC_B-DPAC_B_No847,338.0,3.2,4.552492,2.7,4886.51,0.551695,742.281,0.38732,4.249906
DB0-m2_o13_rhr,338.0,3.2,3.401012,4.35,42562.6,0.260042,5455.97,0.68054,2.322838
DB1-Zn2O8-ADC_A-DPAC_A_No1926,338.0,0.26,3.814749,2.86,6220.15,0.402217,1275.45,0.43808,0.284134
DB0-m3_o21_o25_f0_pcu.sym.110,298.0,1.0,4.363161,2.27,2934.37,0.605552,653.222,0.20214,2.689984
DB0-m2_o1_o6_f0_pcu.sym.10,313.0,0.4,4.615004,3.12,1650.15,0.707991,302.475,0.24418,0.66435
DB0-m29_o90_o500_f0_pts.sym.36,313.0,16.0,6.955966,2.22,2233.54,0.754116,376.803,0.1434,15.587981
DB0-m3_o155_o47_f0_fsc.sym.19,313.0,0.4,6.01961,2.78,1646.97,0.852339,334.38,0.14032,4.036861
DB7-ddmof_2015,338.0,0.26,3.854762,6.67,16925.2,0.518693,3499.83,0.42952,0.15747
DB1-Zn2O8N2-DPAC_A-irmof20_A_No452,313.0,0.4,3.591684,2.7,8904.22,0.454924,1549.16,0.51324,0.283589
DB6-cuf_5654,298.0,0.1,4.876624,2.04,3416.18,0.5006,685.974,0.39424,0.336925
DB0-m2_o58_o25_jeb,298.0,0.1,2.847775,2.94,11065.2,0.228002,1558.72,0.67812,0.126844
DB7-ddmof_3130,338.0,3.2,3.38535,4.2,12362.2,0.435406,2176.33,0.47194,2.687195
DB0-m3_o490_o155_f0_fsc.sym.54,313.0,16.0,8.84755,2.44,1595.24,0.957104,279.372,0.10506,11.663572
DB5-hypotheticalMOF_5061739_2_0_2_18_25_4,313.0,0.4,3.399415,2.82,4130.25,0.33917,739.537,0.53872,0.370977
DB0-m3_o51_o20_f0_fsc.sym.40,313.0,16.0,6.452952,3.57,1435.33,0.778824,274.874,0.2298,16.308923
DB7-ddmof_3017,313.0,0.4,4.474383,4.51,8615.81,0.718724,1674.51,0.24496,0.825989
DB6-cuf_2727,298.0,0.1,5.113189,2.0,3327.27,0.540928,692.565,0.34852,0.385623
DB0-m3_o26_o27_f0_pcu.sym.69,338.0,3.2,3.843317,1.85,5508.77,0.337791,1040.19,0.518,3.044262
DB0-m3_o4_o22_f0_nbo.sym.67,338.0,0.26,4.373704,3.19,5211.89,0.625681,1068.4,0.29386,0.335837
DB0-m2_o14_o28_f0_nbo.sym.46,313.0,0.4,4.14224,2.48,21834.8,0.405078,4324.98,0.4644,0.571468
DB0-m3_o43_o156_f0_fsc.sym.50,298.0,0.1,5.406626,2.0,2255.88,0.732893,532.508,0.13402,1.589842
DB0-m3_o23_o28_f0_nbo.sym.147,298.0,0.1,3.354709,2.19,47626.1,0.181484,5262.8,0.734,0.190499
DB0-m3_o2_o11_f0_pcu.sym.5,313.0,16.0,7.238389,2.44,2382.14,0.571236,488.064,0.3042,21.949143
DB5-hypotheticalMOF_5036077_2_0_1_18_7_4,298.0,1.0,3.921805,4.55,2092.18,0.492937,435.884,0.40414,1.285636
DB6-cuf_7844,298.0,0.1,3.912305,1.96,4115.46,0.470393,751.379,0.43294,0.161964
DB0-m3_o460_o14_f0_fsc.sym.26,298.0,1.0,2.24308,4.17,691.902,1.45726,47.3666,0.0214,1.618389
DB6-pMOF_236,313.0,16.0,4.576456,2.44,3655.41,0.360589,684.726,0.48912,27.160154
DB0-m2_o9_o28_f0_pcu.sym.27,298.0,1.0,4.787139,0.98,5605.18,0.57612,883.297,0.32564,1.842997
DB0-m2_o7_o10_f0_pcu.sym.137,298.0,0.1,6.334835,1.96,2525.53,0.603529,563.008,0.21252,0.728683
DB0-m2_o14_o28_f0_nbo.sym.10,313.0,16.0,4.31874,2.48,21591.6,0.40101,3876.15,0.50458,22.173897
DB0-m29_o90_o570_f0_pts.sym.71,298.0,0.1,4.932836,2.04,3343.79,0.549974,628.519,0.36406,0.422512
DB0-m29_o84_o45_f0_pts.sym.54,338.0,3.2,6.427755,2.56,1991.14,0.79287,436.201,0.1173,6.218899
DB1-Zn2O8-irmof16_A-TDPAT_No557,298.0,1.0,3.26259,2.86,34742.1,0.263622,4731.66,0.6717,1.289402
DB7-ddmof_5051,313.0,0.4,3.338189,4.88,28012.0,0.265075,4069.94,0.64326,0.401145
DB0-m3_o11_o25_f0_nbo.sym.138,313.0,0.4,3.499592,3.53,7811.34,0.363439,1587.71,0.49016,0.454351
DB1-Cu2O8N2-ADC_A-irmof8_A_No266,313.0,16.0,5.497282,2.38,3589.14,0.469848,698.303,0.43932,25.385576
DB0-m2_o7_o9_f0_pcu.sym.51,298.0,0.1,5.192014,1.89,3145.11,0.513198,608.02,0.33706,0.360372
DB0-m2_o2_o23_f0_nbo.sym.73,338.0,0.26,2.682929,2.91,28693.4,0.231365,3976.3,0.6672,0.184662
DB0-m3_o4_o29_f0_pcu.sym.57,338.0,0.26,5.267918,1.47,2987.15,0.68038,626.637,0.12958,0.943595
DB7-ddmof_4024,298.0,1.0,4.723276,3.92,7279.5,0.723933,1416.95,0.19374,3.123662
DB0-m3_o6_o17_f0_pcu.sym.132,313.0,0.4,4.115712,2.94,3637.04,0.36952,761.869,0.47836,0.622104
DB0-m3_o25_o153_f0_fsc.sym.77,338.0,3.2,7.301642,2.94,1573.4,0.876218,260.454,0.15708,6.366445
DB0-m3_o460_o14_f0_fsc.sym.13,298.0,0.1,9.138743,4.55,692.545,1.53456,66.239,0.04244,1.52373
DB1-Cu2N8-DPAC_B-irmof6_B_No99,313.0,16.0,6.501037,3.03,1626.2,0.735887,268.857,0.26966,16.845708
DB0-m29_o84_o52_f0_pts.sym.6,338.0,0.26,5.228484,2.17,2242.38,0.773413,392.423,0.2034,0.580223
DB0-m29_o81_o110_f0_pts.sym.74,298.0,0.1,6.166566,2.17,2424.6,0.679677,464.043,0.24706,0.965462
DB6-cuf_9472,298.0,0.1,4.873882,2.33,3693.23,0.434209,833.799,0.4037,0.236636
DB0-m29_o81_o1490_f0_pts.sym.33,338.0,0.26,4.773024,2.38,2421.27,0.653811,479.329,0.25586,0.425546
DB0-m29_o90_o83_f0_pts.sym.107,298.0,0.1,5.667798,2.33,2775.7,0.584084,564.79,0.3171,0.533153
DB0-m3_o11_o15_f0_nbo.sym.108,298.0,1.0,4.776263,5.0,5378.32,0.444346,1034.47,0.47106,1.840523
DB0-m29_o99_o1510_f0_pts.sym.94,313.0,16.0,4.255086,2.35,4249.69,0.377204,768.066,0.50398,25.451495
DB0-m2_o1_o19_f0_nbo.sym.33,313.0,16.0,4.403119,3.7,10913.1,0.501068,2275.76,0.38146,16.76998
DB7-ddmof_5871,313.0,0.4,6.106525,5.31,6128.03,1.26772,870.988,0.06724,0.921444
DB0-m3_o26_o26_f0_pcu.sym.73,298.0,1.0,3.929905,1.45,10002.1,0.400441,1677.8,0.46726,1.353075
DB0-m2_o28_baa,298.0,0.1,3.624152,1.96,70102.8,0.161439,6716.54,0.77796,0.217457
DB0-m2_o14_o25_f0_nbo.sym.55,313.0,0.4,3.675137,3.7,7434.68,0.432286,1452.98,0.46454,0.477865
DB0-m3_o540_o159_f0_fsc.sym.16,338.0,0.26,5.449315,2.17,2664.65,0.688258,590.646,0.25704,0.859298
DB5-hypotheticalMOF_5037238_1_1_1_18_11_5,313.0,0.4,7.60074,4.76,1574.79,1.12208,96.559,0.01024,3.145582
DB1-Zn2O8N2-irmof10_A-irmof8_A_No289,298.0,1.0,5.809721,2.7,5330.97,0.515424,1150.01,0.3626,2.549393
DB0-m3_o51_o23_f0_fsc.sym.40,298.0,1.0,6.504072,2.38,1605.2,0.880825,256.982,0.1295,3.375794
DB1-Zn2O8-ADC_A-irmof8_A_No200,338.0,3.2,4.556867,2.94,4669.08,0.497422,1057.18,0.35456,4.627371
DB0-m3_o14_o27_f0_pcu.sym.18,298.0,0.1,5.837354,2.5,2091.66,0.733045,394.524,0.2223,0.679965
DB0-m9_o23_o23_f0_sra.sym.81,338.0,0.26,5.662139,2.17,3450.09,0.753369,620.934,0.14918,0.753167
DB0-m3_o440_o18_f0_fsc.sym.44,298.0,1.0,7.646712,2.27,1534.4,0.953966,174.514,0.0577,4.142469
DB0-m2_o29_o110_f0_fsc,298.0,0.1,4.191757,1.37,7252.88,0.333893,1226.48,0.54744,0.297867
DB0-m3_o1_o530_f0_fsc.sym.7,313.0,16.0,9.107279,2.5,1463.72,1.00898,166.208,0.02654,10.227385
DB0-m2_o2_o13_f0_pcu.sym.31,298.0,1.0,5.69518,1.89,2698.92,0.63121,543.213,0.23768,2.83355
DB0-m2_o8_o20_f0_pcu.sym.112,298.0,1.0,3.377636,2.22,3800.88,0.401869,699.861,0.47118,1.186506
DB0-m3_o520_o6_f0_fsc.sym.24,313.0,0.4,5.456085,2.63,1849.86,0.913142,386.183,0.1492,1.618547
DB0-m29_o84_o420_f0_pts.sym.16,313.0,0.4,5.268424,2.86,1922.14,0.727573,390.202,0.21844,1.65028
DB7-ddmof_18183,298.0,0.1,4.256219,1.9,17341.8,0.285366,2684.75,0.59052,0.33568
DB0-m2_o7_o25_f0_nbo.sym.101,338.0,0.26,3.305058,2.1,39522.8,0.255758,5885.37,0.63014,0.220709
DB0-m2_o11_o27_f0_pcu.sym.84,313.0,0.4,4.280326,2.94,2024.68,0.622978,424.259,0.28294,0.667027
DB0-m3_o160_o1490_f0_fsc.sym.28,338.0,3.2,6.630432,2.99,1224.5,1.02158,181.711,0.08524,5.658416
DB0-m3_o1_o16_f0_pcu.sym.18,338.0,0.26,5.569272,3.23,1406.74,0.787661,248.099,0.16294,0.644333
DB6-cuf_5909,313.0,0.4,4.383014,2.08,3137.13,0.612835,686.36,0.28894,0.696338
DB1-Cu2O8N2-ADC_A-irmof20_A_No236,298.0,0.1,4.165948,2.67,3454.0,0.458455,684.747,0.46088,0.192786
DB1-Zn4O13-irmof7_A-irmof8_A_No513,338.0,0.26,4.166352,5.33,11638.5,0.699503,2423.97,0.32436,0.226718
DB0-m3_o4_o430_f0_fsc.sym.46,338.0,3.2,9.155069,2.38,1189.68,1.21075,96.6784,0.02596,3.6356
DB0-m2_o3_o6_f0_pcu.sym.24,338.0,0.26,3.307137,1.92,5551.72,0.373229,1043.22,0.50844,0.193227
DB0-m3_o2_o4_f0_pcu.sym.31,338.0,3.2,7.19184,2.04,2357.97,0.682787,462.297,0.2145,4.28963
DB0-m2_o16_o27_f0_pcu.sym.16,298.0,0.1,4.797762,1.85,2730.23,0.610648,495.75,0.25386,0.516888
DB0-m3_o24_o27_f0_pcu.sym.36,298.0,1.0,5.695733,2.33,2022.01,0.732089,414.395,0.16668,3.562889
DB0-m3_o24_o26_f0_pcu.sym.78,338.0,3.2,5.954399,2.33,1828.23,0.893098,292.019,0.08372,4.516227
DB12-MAYJOM_freeONLY,313.0,16.0,12.424192,5.26,6278.19,1.25239,897.271,0.09812,8.591665
DB0-m2_o3_o9_f0_nbo.sym.85,338.0,3.2,3.230614,2.48,32041.6,0.259147,4291.04,0.65302,1.870748
DB0-m3_o115_o156_f0_fsc.sym.52,313.0,0.4,4.413082,1.3,4716.9,0.552884,846.886,0.35066,0.92677
DB0-m2_o16_o29_f0_pcu.sym.56,313.0,16.0,6.500152,1.54,3926.74,0.552372,865.076,0.28682,23.853818
DB0-m3_o520_o23_f0_fsc.sym.113,298.0,0.1,5.780219,2.86,1815.36,0.716513,328.552,0.213,0.446219
DB1-Cu2O8N2-irmof6_A-irmof7_A_No237,298.0,0.1,7.824641,3.39,2133.11,1.09375,287.418,0.08484,1.827431
DB0-m2_o8_o18_f0_pcu.sym.122,338.0,3.2,3.847525,2.13,3875.03,0.419895,753.968,0.45018,3.035964
DB13-pcu-Syn028654,313.0,16.0,4.361739,3.64,40654.4,0.489838,7234.83,0.47828,17.126471
DB0-m2_o11_o19_f0_pcu.sym.24,313.0,0.4,3.421841,5.88,1248.11,0.682898,281.473,0.29776,0.292264
DB0-m3_o460_o159_f0_fsc.sym.18,298.0,0.1,6.674023,3.85,999.682,1.04013,159.936,0.1098,2.116822
DB0-m2_o20_o26_f0_pcu.sym.4,338.0,0.26,3.665833,2.22,3262.94,0.475258,662.332,0.37284,0.227189
DB0-m3_o530_o15_f0_fsc.sym.1,338.0,0.26,7.436689,2.56,1491.44,1.0036,205.028,0.04134,2.877127
DB0-m2_o9_o29_f0_nbo.sym.31,298.0,0.1,4.491235,1.84,25516.0,0.438357,4908.89,0.44376,0.180652
DB5-hypotheticalMOF_1001241_0_0_3_10_25_7,338.0,0.26,5.276762,3.45,1252.76,0.787776,212.36,0.21726,0.610364
DB0-m2_o19_o25_f0_nbo.sym.82,338.0,3.2,2.922416,4.23,17844.3,0.347329,3535.12,0.52958,1.435808
DB1-Cu2O8N2-AZO_A-BDC_A_No211,338.0,3.2,5.587015,2.9,2867.54,0.602899,586.955,0.37224,4.251561
DB0-m2_o17_o28_f0_pcu.sym.8,313.0,0.4,3.826612,1.89,4724.11,0.419302,933.84,0.4665,0.626479
DB0-m2_o8_o11_f0_pcu.sym.36,313.0,16.0,5.443627,2.17,2919.37,0.520345,621.67,0.3578,21.702346
DB0-m2_o6_o22_f0_nbo.sym.157,338.0,0.26,2.815929,4.11,21941.4,0.27584,3336.31,0.62654,0.171966
DB1-Zn2O8-AZO_A-DPAC_A_No395,298.0,1.0,5.894201,3.23,6132.51,0.443999,1147.62,0.42166,14.05649
DB0-m3_o101_o159_f0_fsc.sym.4,338.0,0.26,6.527201,3.03,1384.45,0.961075,217.625,0.2395,1.304155
DB1-Cu2N8-irmof16_B-irmof20_B_No193,313.0,16.0,8.214816,3.7,2762.98,1.02375,428.701,0.22868,12.537446
DB0-m3_o13_o470_f0_fsc.sym.21,338.0,0.26,6.967052,3.45,1045.26,1.06633,169.269,0.08628,2.16397
DB1-Cu2O8N2-BDC_A-irmof20_A_No473,313.0,0.4,7.080078,3.57,2266.45,1.0865,342.961,0.15052,3.481381
DB0-m9_o10_o26_f0_sra,338.0,0.26,4.922673,4.55,993.359,0.859541,188.055,0.1408,0.713561
DB0-m3_o23_o28_f0_pcu.sym.51,313.0,16.0,4.635063,1.72,5535.55,0.345034,1194.35,0.49004,30.000617
DB12-VAGBUD_clean,338.0,3.2,7.079614,5.13,3196.42,1.57268,356.727,0.14844,2.381642
DB0-m2_o18_o28_f0_pcu.sym.14,298.0,0.1,4.887929,1.69,4450.75,0.462658,918.624,0.41016,0.38059
DB0-m9_o6_o19_f0_sra.sym.16,298.0,1.0,5.264999,4.49,2404.39,0.757183,442.694,0.19254,2.155605
DB5-hypotheticalMOF_5006361_3_1_0_15_7_8,338.0,0.26,4.817208,7.02,3307.34,0.851463,625.388,0.09122,0.394176
DB7-ddmof_20155,298.0,0.1,3.321496,1.38,21359.6,0.214267,2983.0,0.66554,0.187607
DB1-Al2O6-AZO_B-irmof7_B_No394,338.0,3.2,8.512107,2.94,1140.78,1.13887,126.869,0.09758,4.505008
DB6-cuf_9561,298.0,0.1,5.386398,2.13,2530.48,0.614129,502.594,0.28126,0.618392
DB0-m3_o47_o159_f0_fsc.sym.6,338.0,3.2,6.321572,3.57,1262.69,0.960167,232.45,0.12716,5.830132
DB7-ddmof_3047,313.0,16.0,5.67365,3.68,10693.7,0.685387,2048.88,0.25092,15.471581
DB0-m2_o2_o14_f0_nbo.sym.46,298.0,0.1,3.934862,3.45,19451.8,0.340028,3329.99,0.56038,0.233162
DB0-m3_o7_o14_f0_pcu.sym.21,313.0,0.4,4.52578,2.7,3315.42,0.948589,600.244,0.36022,0.382671
DB0-m3_o25_o28_f0_pcu.sym.15,298.0,0.1,4.488655,2.0,5586.76,0.333951,1097.94,0.53166,0.279065
DB5-hypotheticalMOF_5076368_2_1_2_27_25_2,338.0,0.26,4.608132,2.38,5455.4,0.752592,1446.36,0.13768,0.393643
DB0-m3_o112_o22_f0_fsc.sym.1,338.0,0.26,7.417932,3.7,726.454,1.35593,71.8107,0.05262,2.163357
DB0-m3_o18_o510_f0_fsc.sym.5,338.0,0.26,6.100327,3.03,1494.67,0.828009,301.957,0.12938,1.164801
DB0-m3_o20_o24_f0_nbo.sym.96,313.0,16.0,3.69019,3.45,18266.3,0.417688,3244.97,0.51168,14.563867
DB0-m3_o146_o4_f0_fsc.sym.56,298.0,1.0,7.374825,2.0,1670.04,0.898491,211.331,0.03224,4.239408
DB1-Cu2O8N2-ADC_A-AZO_A_No1108,338.0,3.2,3.824762,1.92,4776.79,0.392752,793.031,0.53634,2.636251
DB0-m3_o24_o143_f0_fsc.sym.9,313.0,16.0,10.844758,3.33,955.695,1.16284,107.511,0.06284,6.94048
DB0-m2_o14_o22_f0_nbo.sym.93,298.0,0.1,4.146827,4.03,5003.09,0.566031,1031.39,0.36352,0.210543
DB0-m3_o6_o7_f0_pcu.sym.10,338.0,3.2,3.194832,2.5,4297.25,0.330548,858.062,0.50972,2.769555
DB5-hypotheticalMOF_25521_0_0_1_14_13_4,313.0,16.0,6.313153,2.86,1954.71,0.655258,387.478,0.2717,19.605228
DB0-m3_o17_o93_f0_fsc.sym.26,338.0,3.2,8.705203,2.63,1109.55,1.15746,122.402,0.05488,5.394183
DB0-m3_o25_o78_f0_fsc.sym.37,298.0,0.1,6.705627,3.33,1254.66,0.920153,212.334,0.1249,1.470905
DB0-m3_o160_o520_f0_fsc.sym.16,298.0,1.0,5.974413,3.03,1717.31,0.737095,375.785,0.2063,3.534164
DB0-m3_o160_o1480_f0_fsc.sym.64,338.0,3.2,7.688626,3.57,1217.83,0.972498,207.665,0.131,6.421407
DB0-m3_o7_o17_f0_nbo.sym.3,338.0,3.2,3.562383,2.65,37936.2,0.196994,4086.14,0.72958,3.081638
DB1-Cu2O8N2-ADC_A-irmof6_A_No430,313.0,0.4,4.124371,2.56,2985.27,0.634419,599.58,0.37832,0.569213
DB0-m2_o17_o22_f0_nbo.sym.121,298.0,1.0,4.706106,2.56,18897.5,0.412479,3236.75,0.5061,1.761009
DB0-m3_o9_o19_f0_pcu.sym.21,313.0,16.0,7.204968,3.57,1283.27,0.938384,202.088,0.0542,9.730644
DB0-m3_o20_o28_f0_pcu.sym.17,298.0,0.1,3.005411,2.86,4560.54,0.432168,921.805,0.51548,0.129534
DB0-m29_o80_o1470_f0_pts.sym.45,338.0,0.26,5.591856,1.79,2408.17,0.794767,440.306,0.12434,0.85672
DB5-hypotheticalMOF_5074334_2_1_2_23_24_6,313.0,16.0,9.100916,2.11,4435.72,0.87667,614.476,0.09276,13.49299
DB0-m2_o12_bbe,298.0,1.0,3.415242,6.67,6488.63,0.416917,1313.13,0.50906,0.959556
DB0-m29_o80_o87_f0_pts.sym.46,338.0,3.2,8.559103,2.63,1474.58,1.02953,25.538,0.00212,6.22475
DB0-m29_o81_o420_f0_pts.sym.72,338.0,3.2,6.185179,1.64,2461.83,0.795002,442.559,0.13464,5.883106
DB0-m2_o11_o11_f0_pcu.sym.16,338.0,3.2,4.344462,4.65,2345.57,0.769315,490.556,0.21382,2.704482
DB0-m29_o92_o86_f0_pts.sym.37,298.0,0.1,5.372216,1.45,3273.76,0.751119,540.131,0.19206,0.878672
DB0-m3_o16_o1470_f0_fsc.sym.32,298.0,0.1,8.389498,3.17,1096.29,1.08193,154.757,0.0937,2.183719
DB0-m2_o9_o27_f0_nbo.sym.135,298.0,1.0,4.34738,2.63,8858.7,0.453467,1702.28,0.44312,1.719683
DB0-m3_o25_o50_f0_fsc.sym.6,338.0,0.26,5.793156,3.7,1299.94,0.989963,239.481,0.10808,0.838713
DB0-m29_o92_o87_f0_pts.sym.38,338.0,0.26,6.662763,1.96,2059.58,0.934014,314.772,0.05452,1.615564
DB6-cuf_9823,298.0,1.0,4.845609,2.17,2296.12,0.630496,449.607,0.25712,4.784458
DB0-m2_o22_o28_f0_nbo.sym.1,338.0,0.26,2.836935,2.86,20869.0,0.346113,3507.89,0.5613,0.135089
DB6-cuf_675,338.0,3.2,5.175302,1.75,2874.04,0.622841,595.67,0.27676,5.348589
DB0-m2_o18_o29_f0_pcu.sym.74,298.0,1.0,5.852536,0.97,5206.69,0.577522,904.603,0.30328,3.276597
DB0-m3_o17_o450_f0_fsc.sym.9,313.0,0.4,4.821115,2.86,1453.92,0.851276,224.871,0.21516,1.724278
DB0-m3_o7_o11_f0_pcu.sym.9,338.0,0.26,3.612741,3.03,3288.38,0.396004,674.711,0.47324,0.204093
DB0-m3_o16_o17_f0_pcu.sym.88,313.0,16.0,6.02859,2.08,2547.75,0.615017,557.893,0.2423,20.237026
DB6-cuf_1126,313.0,16.0,6.01143,1.82,2481.96,0.706479,378.447,0.22068,15.576273
DB0-m2_o17_o20_f0_pcu.sym.103,338.0,3.2,4.906171,2.17,2920.69,0.546878,640.606,0.28474,4.446189
DB0-m2_o14_o19_f0_nbo.sym.67,313.0,0.4,5.641528,3.09,11166.6,0.794089,2164.33,0.18548,1.221622
DB12-NEJRUR_freeONLY,298.0,0.1,7.81584,3.7,1638.6,1.2394,91.0573,0.0077,1.418142
DB6-cuf_9658,313.0,0.4,4.277362,2.38,3666.63,0.465419,779.771,0.43416,0.452703
DB0-m2_o5_o24_f0_nbo.sym.49,298.0,1.0,5.316168,4.0,7255.34,0.872538,1181.26,0.1488,2.15965
DB0-m3_o115_o14_f0_fsc.sym.26,313.0,16.0,7.363501,1.79,2532.93,0.743255,540.082,0.1601,16.132659
DB0-m29_o88_o90_f0_pts.sym.68,338.0,3.2,5.405227,2.5,2738.31,0.553822,524.998,0.34214,3.301389
DB0-m3_o7_o17_f0_pcu.sym.76,338.0,0.26,4.107478,1.96,4437.25,0.439145,794.372,0.47834,0.225164
DB0-m2_o14_o29_f0_pcu.sym.29,338.0,3.2,5.580702,1.87,2805.85,0.677022,605.965,0.22804,6.66844
DB0-m29_o90_o490_f0_pts.sym.31,298.0,0.1,5.02221,2.47,2459.25,0.651101,494.675,0.27764,0.386813
DB0-m29_o82_o1470_f0_pts.sym.109,298.0,1.0,7.161302,2.04,2167.23,0.846967,360.439,0.11952,4.898236
DB0-m3_o4_o22_f0_nbo.sym.52,338.0,3.2,5.286832,4.14,5207.7,0.519566,1027.65,0.39944,3.328206
DB0-m2_o20_o28_f0_pcu.sym.24,313.0,16.0,5.903851,1.64,4401.32,0.463356,881.824,0.3887,25.67714
DB0-m2_o3_o19_f0_nbo.sym.28,298.0,0.1,3.903864,2.26,34682.8,0.272638,4759.33,0.64278,0.176628
DB0-m3_o1_o25_f0_nbo.sym.88,338.0,3.2,4.009939,3.61,15220.4,0.381768,2905.32,0.489,2.728875
DB0-m29_o89_o92_f0_pts.sym.53,313.0,0.4,5.951998,1.79,3181.37,0.662659,750.676,0.20686,2.786633
DB0-m3_o24_o81_f0_fsc,298.0,1.0,5.329741,4.35,736.769,1.26918,81.8265,0.05808,3.123132
DB0-m29_o82_o86_f0_pts.sym.43,338.0,3.2,6.172481,2.13,2201.34,0.851894,321.786,0.1717,5.514152
DB0-m2_o7_o19_f0_pcu.sym.2,338.0,3.2,3.564508,2.33,3424.89,0.397483,696.29,0.45026,2.72108
DB0-m2_o2_o22_f0_pcu.sym.58,338.0,0.26,4.215941,2.27,2217.04,0.599061,440.386,0.26574,0.290017
DB0-m3_o96_o22_f0_fsc.sym.20,313.0,16.0,7.238258,2.17,1971.42,0.885676,391.647,0.15064,12.778932
